fold,train_start,train_end,test_start,test_end,train_samples,test_samples,train_positive_rate,test_positive_rate,auroc,auprc,brier
0,2024-07-19,2025-01-29,2025-01-30,2025-02-19,1000,350,0.325,0.5,0.5542857142857143,0.559635575616048,0.28218363652298395
1,2024-12-26,2025-02-05,2025-02-06,2025-06-19,1000,350,0.35,0.42857142857142855,0.5104166666666666,0.5800196020425386,0.2768311662377838
2,2025-01-02,2025-02-19,2025-02-21,2025-08-04,1000,350,0.5,0.2857142857142857,0.358,0.22968970067215672,0.4866775592379723
3,2025-01-09,2025-06-19,2025-07-15,2025-08-14,1000,350,0.375,0.7142857142857143,0.7725,0.8430543759220381,0.25831093307774317
4,2025-01-17,2025-08-04,2025-08-05,2025-08-21,1000,350,0.3,0.42857142857142855,0.78125,0.748846656181069,0.2009214685988741
5,2025-02-24,2025-09-05,2025-09-06,2025-09-22,1000,350,0.25,0.21428571428571427,0.19696969696969696,0.18326800232288037,0.2969461010499345
6,2025-07-29,2025-09-15,2025-09-16,2025-09-29,1000,350,0.25,0.7142857142857143,0.15249999999999997,0.6285416737545222,0.7238582153511782
7,2025-08-07,2025-09-22,2025-09-23,2025-10-09,1000,350,0.175,0.7857142857142857,0.573939393939394,0.793338432999485,0.3502645587351044
8,2025-08-17,2025-09-29,2025-09-30,2025-10-18,1000,350,0.25,0.2857142857142857,0.7585,0.6747023129978412,0.2859353466946031
9,2025-09-08,2025-10-25,2025-10-26,2025-11-11,1000,350,0.35,0.14285714285714285,0.4466666666666667,0.14150217517244063,0.15244553009179318
10,2025-09-18,2025-11-01,2025-11-02,2025-11-22,1000,350,0.35,0.6428571428571429,0.43288888888888893,0.6319189763117055,0.42426137297696453
11,2025-09-25,2025-11-11,2025-11-13,2025-11-29,1000,350,0.275,0.5,0.3514285714285714,0.5206534469114547,0.3302300407499451
